state,code,x,y
Hawaii,HI,0,7
Washington,WA,0,2
Oregon,OR,0,3
California,CA,0,4
Alaska,AK,0,0
Idaho,ID,1,2
Nevada,NV,1,3
Utah,UT,1,4
Arizona,AZ,1,5
Montana,MT,2,2
Wyoming,WY,2,3
Colorado,CO,2,4
New Mexico,NM,2,5
North Dakota,ND,3,2
South Dakota,SD,3,3
Nebraska,NE,3,4
Kansas,KS,3,5
Oklahoma,OK,3,6
Texas,TX,3,7
Minnesota,MN,4,1
Wisconsin,WI,4,2
Iowa,IA,4,3
Missouri,MO,4,4
Arkansas,AR,4,5
Louisiana,LA,4,6
Illinois,IL,5,2
Indiana,IN,5,3
Kentucky,KY,5,4
Tennessee,TN,5,5
Mississippi,MS,5,6
Michigan,MI,6,2
Ohio,OH,6,3
West Virginia,WV,6,4
North Carolina,NC,6,5
Alabama,AL,6,6
Pennsylvania,PA,7,3
Virginia,VA,7,4
South Carolina,SC,7,5
Georgia,GA,7,6
New York,NY,8,2
New Jersey,NJ,8,3
Maryland,MD,8,4
Florida,FL,8,7
Vermont,VT,9,1
Massachusetts,MA,9,2
Connecticut,CT,9,3
Delaware,DE,9,4
Maine,ME,10,0
New Hampshire,NH,10,1
Rhode Island,RI,10,3
Washington DC,DC,10,4